File Extension,Ransomware,Present in other programs,Program type
QP,Unidentified,N,
ILLNEST,Unidentified,N,
Ordinypt,Unidentified,N,
aesir,Globe,N,
UNLIS,Unidentified,N,
alumni,Unidentified,N,
metan,Unidentified,N,
ragnarok,Unidentified,N,
karne,Unidentified,N,
aes_ni_0day,Unidentified,N,
lcphr!Ransom,Unidentified,N,
klavins,Unidentified,N,
#Locky,Unidentified,N,
dop,Unidentified,N,
cerber,Cerber,N,
lyli,Unidentified,N,
82a80,Unidentified,N,
enigma,Locky,N,
Armage,Unidentified,N,
RE78P,Unidentified,N,
OnyxLocker,Unidentified,N,
PAY,Unidentified,N,
0day,Unidentified,N,
XONIF,Unidentified,N,
sage,Cerber,N,
hen_ry_217,Unidentified,N,
rectot,Unidentified,N,
Paradise,Unidentified,N,
dcom,Unidentified,N,
firex3m,Unidentified,N,
Pickles,Unidentified,N,
11111,Unidentified,N,
mordor,Unidentified,N,
szesnl,Unidentified,N,
AWT,Unidentified,N,
GPAA,Unidentified,N,
BadRabbit,Unidentified,N,
eduransom,Unidentified,N,
OhNo!,Unidentified,N,
stop,Unidentified,N,
0x009d8a,Unidentified,N,
KratosCrypt,Unidentified,N,
"sambo,",Unidentified,N,
flowEncryption,Unidentified,N,
Kolobo,Unidentified,N,
HydraCrypt,Unidentified,N,
saturn,Unidentified,N,
tfudet,Unidentified,N,
dlenggrl,Unidentified,N,
zzz12,Unidentified,N,
sguard,Unidentified,N,
bat,Unidentified,Y,Batchfile(DOS)
Russenger,Unidentified,N,
btcbtcbtc,Unidentified,N,
TaRRaK,Unidentified,N,
DEUSCRYPT,Unidentified,N,
NOBAD,Unidentified,N,
FASTBOB,Unidentified,N,
Bqd2,Unidentified,N,
carote,Unidentified,N,
Frendi,Unidentified,N,
[Ke\u2026,Unidentified,N,
enc_robbinhood,Unidentified,N,
kvllyatprotonmaildotch,Unidentified,N,
optimus,Unidentified,N,
parad1gm,Unidentified,N,
6FKR8d,Unidentified,N,
District,Unidentified,N,
lotej,Unidentified,N,
7h9r,Unidentified,N,
JayTHL,Unidentified,N,
0x6A0C8,Unidentified,N,
DMR,Unidentified,N,
sinta,Unidentified,N,
HJAWF,Unidentified,N,
"RU],CRP",Unidentified,N,
CQQUH,Unidentified,N,
canihelpyou,Unidentified,N,
HHFEHIOL,Unidentified,N,
TheDarkEncryptor,Unidentified,N,
cobra,Unidentified,N,
z3r0,Unidentified,N,
peta,Unidentified,N,
Horros,Unidentified,N,
vacv2,Unidentified,N,
norvas,Unidentified,N,
encedRSA,Unidentified,N,
0*,Unidentified,N,
Venusf,Unidentified,N,
lote,Unidentified,N,
credo,Unidentified,N,
LOVE,Unidentified,N,
Quimera,Unidentified,N,
*nochance,Unidentified,N,
Argus,Unidentified,N,
flyper,Unidentified,N,
zbw,Unidentified,N,
adage,Unidentified,N,
HollyCrypt,Unidentified,N,
zbt,Unidentified,N,
ws,Unidentified,Y,Textfile(WordStar5.0-6.0)
wtf,Unidentified,N,
news,Unidentified,N,
Djvuu,Unidentified,N,
RSAUtil,Unidentified,N,
langolier,Unidentified,N,
LOCKED,Unidentified,N,
jbptlio,Unidentified,N,
Navi,Unidentified,N,
pidon,Unidentified,N,
pidom,Unidentified,N,
JLCW2,Unidentified,N,
scorpio,Unidentified,N,
asasin,Unidentified,N,
sorryforthis,Unidentified,N,
china,Unidentified,N,
Heimdall,Unidentified,N,
NGSC,Unidentified,N,
com,Unidentified,Y,Command(memoryimageofexecutableprogram)(DOS)
DriedSister,Unidentified,N,
MCrypt2018,Unidentified,N,
cerber2,Locky,N,
cerber3,LOLI,N,
cerber6,Unidentified,N,
u'*CoronaCrypt*,Unidentified,N,
RAA-SEP,Unidentified,N,
btc-help-you,Unidentified,N,
gopher,Unidentified,N,
_NEMTY_BTKid9H_,Unidentified,N,
RANZYLOCKED,Unidentified,N,
16x,Unidentified,N,
usr0,Unidentified,N,
AES-Matrix,Unidentified,N,
DATASTOP,Unidentified,N,
CONFICKER,Unidentified,N,
MrDec,Unidentified,N,
hitler,Unidentified,N,
LTML,Unidentified,N,
porno,Unidentified,N,
evopro,Unidentified,N,
beef,Unidentified,N,
NIGG3R,Unidentified,N,
