!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
bws	BlindwriteSubChannelDataFile
bwt	Blindread/Blindwrite
bxx	blaxxunContact
bz2	Bzip2UNIXCompressedfile
c	Csourcecodefile
c++	C++sourcecodefile
c--	Sourcecode(SphinxC--)
c00	Printfile(VenturaPublisher)
c01	Genesis2000
c2d	WinOnCDCDImage
c4d	MAXONCinema4DFile(Graphics)
c60	MidtronicsBatteryManagementSoftware
c86	Csourcecodefile(ComputerInnovationC86)
ca	Initialcachedataforrootdomainservers(Telnet)
cab	CabinetFile(Microsoftinstallationarchive)
cache	Cachefile(typicallyWebcache)
cad	SoftdeskDrafixCADFile
cac	dBASEIVexecutablewhencachingon/off(seecachedb.bat)
cad	Document(DrafixWindowsCAD)
cag	MSClipGalleryCatalogfile
cal	Calendarfile(Windows3.x)
calb	CoolectAlbumfile(CoolectAlbumPlayer)
cam	CasioCameraGraphic
can	Fax(NavigatorFax)
cap	Caption(VenturaPublisher)
car	AtHomeAssistantfile
cas	Comma-delimitedASCIIFile
cat	Catalog(dBASEIV)
cb	CleanBootFile(Microsoft)
cbc	Fuzzylogicsystem(CubiCalc)
cbf	CalendarBuilderfile
cbl	Cobolsourcecodefile
cbm	Compiledbitmapgraphics(XLib)
cbp	CentralBuilderProject
cbr	ComicBookReaderFilearchive(CDisplayimageviewer)
cbt	ComputerBasedTraining(many)
cbz	ComicBookReaderFilearchive(CDisplayimageviewer)
cc	C++sourcecodefile
cca	CC:Mailarchivefile
ccb	VisualBasicAnimatedButtonConfiguration
ccc	Bitmapgraphics(nativeformat)(CurtainCall)
ccd	CloneCDRelatedfile
cce	CalendarCreator2Eventfile
ccf	Communicationsconfigurationfile(Symphony)
cch	Chart(CorelChart)
ccl	CommunicationCommandLanguagefile(Intalk)
cco	BtxGraphicsfile(XBTX)
cct	MacromediaDirectorShockwavefile
ccx	CorelPrintHousefile
cda	CDAudioTrack
cdb	Carddatabase(CardScan)
cdd	ConceptDrawDocumentfile
cde	HoneywellHybridControlDesigner
cdf	ComponentDefinitionfile
cdg	CompactDiscPlusGraphicsfile
cdi	PhillipsCompactDiskInteractiveformat
cdk	Document(AtariCalamus)
cdl	CaseWareWorkingPapersDocumentLink
cdm	MediaMakerDiskImagefile
cdp	VisualObjectsDeveloperfile
cdr	Vectorgraphics(CorelDRAWnativeformat)
cdt	Data(CorelDraw4.0)
cdx	CorelDrawCompressedImagefile
ce	Main.ce(TheFarSideComputerCalendar)
ceb	ApabieBookfile
ceg	Bitmapgraphics(TempraShow-EdsunContinuousEdge
cel	Graphics(AutodeskAnimator-Lumena)
cf	SendmailConfigurationfile
cfb	Comptonsmultimediafile
cfc	MacromediaColdfusioncomponentextension
cfg	Configuration
cfl	Chart(CorelFLOW)
cfm	ColdFusionMarkupLanguage(Allaire)
cfn	Fontdata(AtariCalamus)
cfo	CFormObjectinternalformatobjectfile(TCUTurboC
cfp	QuickenCashFlowProjectionfile
cfr	CrossfireReplayfile
cga	CGAdisplayfont(VenturaPublisher)
cgd	CricketGraphDatafile
cge	CCDAstrocamera
cgi	CommonGatewayInterfacescript
cgm	ComputerGraphicsMetafilevectorgraphics(A&L-HG-
ch	Headerfile(Clipper5)
